,Date,Time,Hours,Minutes,Month,Power,Status,Week Day,Weekend or weekday,Part of the day
199121,2022-01-04,04:30:00,4,30,1,0,W,Tuesday,Workday,Morning
199122,2022-01-04,04:45:00,4,45,1,0,W,Tuesday,Workday,Morning
199123,2022-01-04,05:00:00,5,0,1,0,W,Tuesday,Workday,Morning
199124,2022-01-04,05:15:00,5,15,1,0,W,Tuesday,Workday,Morning
199125,2022-01-04,05:30:00,5,30,1,0,W,Tuesday,Workday,Morning
199126,2022-01-04,05:45:00,5,45,1,0,W,Tuesday,Workday,Morning
199127,2022-01-04,06:00:00,6,0,1,0,W,Tuesday,Workday,Morning
199128,2022-01-04,06:15:00,6,15,1,0,W,Tuesday,Workday,Morning
199129,2022-01-04,06:30:00,6,30,1,0,W,Tuesday,Workday,Morning
199130,2022-01-04,06:45:00,6,45,1,0,W,Tuesday,Workday,Morning
199131,2022-01-04,07:00:00,7,0,1,0,W,Tuesday,Workday,Morning
199132,2022-01-04,07:15:00,7,15,1,0,W,Tuesday,Workday,Morning
199133,2022-01-04,07:30:00,7,30,1,0,W,Tuesday,Workday,Morning
199134,2022-01-04,07:45:00,7,45,1,0,W,Tuesday,Workday,Morning
199135,2022-01-04,08:00:00,8,0,1,0,W,Tuesday,Workday,Morning
199136,2022-01-04,08:15:00,8,15,1,0,W,Tuesday,Workday,Morning
199137,2022-01-04,08:30:00,8,30,1,0,W,Tuesday,Workday,Morning
199138,2022-01-04,08:45:00,8,45,1,0,W,Tuesday,Workday,Morning
199139,2022-01-04,09:00:00,9,0,1,6.4,W,Tuesday,Workday,Morning
199140,2022-01-04,09:15:00,9,15,1,14.4,W,Tuesday,Workday,Morning
199141,2022-01-04,09:30:00,9,30,1,24,W,Tuesday,Workday,Morning
199142,2022-01-04,09:45:00,9,45,1,36.8,W,Tuesday,Workday,Morning
199143,2022-01-04,10:00:00,10,0,1,38.4,W,Tuesday,Workday,Morning
199144,2022-01-04,10:15:00,10,15,1,54.4,W,Tuesday,Workday,Morning
199145,2022-01-04,10:30:00,10,30,1,51.2,W,Tuesday,Workday,Morning
199146,2022-01-04,10:45:00,10,45,1,72,W,Tuesday,Workday,Morning
199147,2022-01-04,11:00:00,11,0,1,76.8,W,Tuesday,Workday,Morning
199148,2022-01-04,11:15:00,11,15,1,80,W,Tuesday,Workday,Morning
199149,2022-01-04,11:30:00,11,30,1,84.8,W,Tuesday,Workday,Morning
199150,2022-01-04,11:45:00,11,45,1,86.4,W,Tuesday,Workday,Morning
199151,2022-01-04,12:00:00,12,0,1,67.2,W,Tuesday,Workday,Afternoon
199152,2022-01-04,12:15:00,12,15,1,49.6,W,Tuesday,Workday,Afternoon
199153,2022-01-04,12:30:00,12,30,1,52.8,W,Tuesday,Workday,Afternoon
