Date, Time,Power
18.07.2022,04:00:00,0
18.07.2022,04:15:00,0
18.07.2022,04:30:00,0
18.07.2022,04:45:00,0
18.07.2022,05:00:00,0
18.07.2022,05:15:00,0
18.07.2022,05:30:00,0
18.07.2022,05:45:00,1.6
18.07.2022,06:00:00,12.8
18.07.2022,06:15:00,20.8
18.07.2022,06:30:00,30.4
18.07.2022,06:45:00,38.4
18.07.2022,07:00:00,62.4
18.07.2022,07:15:00,100.8
18.07.2022,07:30:00,148.8
18.07.2022,07:45:00,204.8
18.07.2022,08:00:00,286.4
18.07.2022,08:15:00,368
18.07.2022,08:30:00,452.8
18.07.2022,08:45:00,524.8
18.07.2022,09:00:00,577.6
18.07.2022,09:15:00,691.2
18.07.2022,09:30:00,737.6
18.07.2022,09:45:00,808
18.07.2022,10:00:00,833.6
18.07.2022,10:15:00,880
18.07.2022,10:30:00,982.4
18.07.2022,10:45:00,976
18.07.2022,11:00:00,1081.6
18.07.2022,11:15:00,1113.6
18.07.2022,11:30:00,1131.2
18.07.2022,11:45:00,1124.8
18.07.2022,12:00:00,1132.8
18.07.2022,12:15:00,1176
18.07.2022,12:30:00,1208
18.07.2022,12:45:00,1131.2
18.07.2022,13:00:00,1212.8
18.07.2022,13:15:00,1180.8
18.07.2022,13:30:00,1224
18.07.2022,13:45:00,1232
18.07.2022,14:00:00,1201.6
18.07.2022,14:15:00,1180.8
18.07.2022,14:30:00,1104
18.07.2022,14:45:00,1105.6
18.07.2022,15:00:00,1123.2
18.07.2022,15:15:00,1076.8
18.07.2022,15:30:00,1099.2
18.07.2022,15:45:00,1028.8
18.07.2022,16:00:00,988.8
18.07.2022,16:15:00,972.8
18.07.2022,16:30:00,936
18.07.2022,16:45:00,808
18.07.2022,17:00:00,824
18.07.2022,17:15:00,657.6
18.07.2022,17:30:00,568
18.07.2022,17:45:00,516.8
18.07.2022,18:00:00,595.2
18.07.2022,18:15:00,460.8
18.07.2022,18:30:00,435.2
18.07.2022,18:45:00,238.4
18.07.2022,19:00:00,268.8
18.07.2022,19:15:00,222.4
18.07.2022,19:30:00,216
18.07.2022,19:45:00,145.6
18.07.2022,20:00:00,91.2
18.07.2022,20:15:00,67.2
18.07.2022,20:30:00,48
18.07.2022,20:45:00,36.8
18.07.2022,21:00:00,19.2
18.07.2022,21:15:00,6.4
18.07.2022,21:30:00,0
18.07.2022,21:45:00,0
18.07.2022,22:00:00,0
18.07.2022,22:15:00,0
18.07.2022,22:30:00,0
18.07.2022,22:45:00,0
18.07.2022,23:00:00,0
18.07.2022,23:15:00,0
18.07.2022,23:30:00,0
18.07.2022,23:45:00,0
19.07.2022,00:00:00,0
19.07.2022,00:15:00,0
19.07.2022,00:30:00,0
19.07.2022,00:45:00,0
19.07.2022,01:00:00,0
19.07.2022,01:15:00,0
19.07.2022,01:30:00,0
19.07.2022,01:45:00,0
19.07.2022,02:00:00,0
19.07.2022,02:15:00,0
19.07.2022,02:30:00,0
19.07.2022,02:45:00,0
19.07.2022,03:00:00,0
19.07.2022,03:15:00,0
19.07.2022,03:30:00,0
19.07.2022,03:45:00,0
19.07.2022,04:00:00,0
19.07.2022,04:15:00,0
19.07.2022,04:30:00,0
19.07.2022,04:45:00,0
